supplier_gstin,supplier_name,invoice_no,invoice_date,return_period,taxable_value,cgst,sgst,igst,total_tax,hsn_codes,supplier_status,linked_doc_id,expected_mismatch_type
24FIPYX3183L1ZI,MANDAL-SETTY,INV/2602/00013,2026-02-13,022026,176444.44,0.0,0.0,28687.2,28687.2,3923;1701;8504,INACTIVE,C02-GSTINV-00253,gstin_status_risk
36XDPCF4890S7Z5,KAUR LLC,INV/2602/00014,2026-02-14,022026,100427.88,0.0,0.0,17673.09,17673.09,3923;8504;2106;7208,ACTIVE,C02-GSTINV-00254,match
09VHOMA0298P2ZI,"HORA, SANDAL AND CONTRACTOR",INV/2602/00015,2026-02-15,022026,80169.28,0.0,0.0,12715.28,12715.28,8504;1006,ACTIVE,C02-GSTINV-00255,match
36JMLGR9837A5ZA,"KAR, DIXIT AND LATA",INV/2602/00016,2026-02-16,022026,23946.09,0.0,0.0,2873.53,2873.53,2106,ACTIVE,C02-GSTINV-00256,match
01HKXJH5957F2ZA,BORA INC,INV/2602/00017,2026-02-17,022026,161620.54,0.0,0.0,24437.03,24437.03,4819;3923,ACTIVE,C02-GSTINV-00257,rate_mismatch
07NJMIX1121R9ZY,MOHANTY PLC,INV/2602/00018,2026-02-18,022026,64184.32,0.0,0.0,11553.18,11553.18,7208,ACTIVE,C02-GSTINV-00258,match
01MIJVX5737A2ZE,"MANI, SARNA AND DASH",INV/2602/00019,2026-02-19,032026,13353.16,0.0,0.0,1602.38,1602.38,3004;2106,ACTIVE,C02-GSTINV-00259,period_mismatch
33NBDGB6779G4ZB,MODI-RAU,INV/2602/00020,2026-02-20,022026,90340.93,0.0,0.0,12427.64,12427.64,1006;3923;2106,ACTIVE,C02-GSTINV-00260,match
08NBVTN7917A2ZD,TELLA-ZACHARIA,INV/2602/00021,2026-02-21,022026,219256.15,0.0,0.0,36446.47,36446.47,4819;8504;2106;7208,ACTIVE,C02-GSTINV-00261,match
29RCDKP1990G6ZC,"BARAL, SANKARAN AND NAIDU",INV/2602/00023,2026-02-23,022026,118991.17,8699.02,8699.02,0.0,17398.04,7208,ACTIVE,C02-GSTINV-00263,hsn_mismatch
24ZNDLD4290X1Z4,"KRISHNA, BAL AND CHAND",INV/2602/00024,2026-02-24,022026,36967.67,0.0,0.0,4436.12,4436.12,2106,ACTIVE,C02-GSTINV-00264,match
27UFRMG3859B7Z7,BAIL LTD,INV/2602/00025,2026-02-25,022026,56370.17,0.0,0.0,9931.45,9931.45,4819;1006;3923;7208,ACTIVE,C02-GSTINV-00265,match
32RRROM8534M6ZI,BARIA-GILL,INV/2602/00026,2026-02-26,022026,4808.64,0.0,0.0,240.44,240.44,1006,INACTIVE,C02-GSTINV-00266,gstin_status_risk
24CIJJR2659C5Z7,VENKATARAMAN-SATHE,INV/2602/00027,2026-02-27,022026,105425.99,0.0,0.0,15675.01,15675.01,1006;8504,ACTIVE,C02-GSTINV-00267,match
32CMRFM8612N4ZV,GOLLA-SARIN,INV/2602/00028,2026-02-01,022026,9859.89,0.0,0.0,2760.76,2760.76,8708,ACTIVE,C02-GSTINV-00268,match
36VCIBU4276J9ZJ,"SWAMY, CHAND AND SINGHAL",INV/2602/00029,2026-02-02,022026,78634.13,0.0,0.0,14904.3,14904.3,3004;9983;8708,ACTIVE,C02-GSTINV-00269,match
27FZTMY5674S1ZX,REGE-NATH,INV/2602/00030,2026-02-03,022026,52435.96,0.0,0.0,6774.55,6774.55,8504;3923;1701,ACTIVE,C02-GSTINV-00270,match
06DAUIM9492I3Z1,CHEEMA-DYAL,INV/2602/00031,2026-02-04,022026,208458.7,0.0,0.0,21125.17,21125.17,8708;1006,ACTIVE,C02-GSTINV-00271,match
19RXKVV2551V9ZG,SABHARWAL-TANDON,INV/2602/00032,2026-02-05,022026,10989.96,0.0,0.0,1318.8,1318.8,3004,ACTIVE,C02-GSTINV-00272,match
01VRYRU2539L2ZY,CHAKRABARTI-MURTY,INV/2602/00034,2026-02-07,022026,14082.45,0.0,0.0,2129.27,2129.27,8504;7208,ACTIVE,C02-GSTINV-00274,rate_mismatch
19WTKAW8944K7Z6,NAIK-D’ALIA,INV/2602/00035,2026-02-08,022026,74197.11,0.0,0.0,13355.48,13355.48,3923;7208,ACTIVE,C02-GSTINV-00275,match
36ISTQE4602J6Z5,VARKEY-AGARWAL,INV/2602/00036,2026-02-09,022026,115441.22,0.0,0.0,13852.94,13852.94,3004;2106,ACTIVE,C02-GSTINV-00276,match
07GRVUF4189S4Z1,"SHERE, SACHDEV AND BHAGAT",INV/2602/00037,2026-02-10,022026,18479.12,0.0,0.0,1177.86,1177.86,1701;2106,ACTIVE,C02-GSTINV-00277,match
09DYEOA5798P2ZE,VASA LLC,INV/2602/00038,2026-02-11,022026,21992.07,0.0,0.0,3168.12,3168.12,3004;8504,INACTIVE,C02-GSTINV-00278,gstin_status_risk
09SEEUA9242S8Z5,"TARA, SATHE AND BEHL",INV/2602/00039,2026-02-12,022026,114900.88,0.0,0.0,17784.17,17784.17,2106;7208;9983,ACTIVE,C02-GSTINV-00279,match
01BYMJP6878A5ZW,LOKE PLC,INV/2602/00040,2026-02-13,022026,92802.56,0.0,0.0,16021.24,16021.24,3923;2106;8504,ACTIVE,C02-GSTINV-00280,match
07MZHJL9289Q6ZR,MANI GROUP,INV/2602/00041,2026-02-14,022026,162398.71,0.0,0.0,25411.97,25411.97,4819;2106,ACTIVE,C02-GSTINV-00281,match
33UBDFA2749P1ZS,"SUNDARAM, DARA AND BALAKRISHNAN",INV/2602/00042,2026-02-15,022026,72789.44,0.0,0.0,9227.35,9227.35,8504;2106;3004,ACTIVE,C02-GSTINV-00282,match
07ALSMQ2630T8ZK,"ATWAL, REDDY AND CHANDER",INV/2602/00044,2026-02-17,022026,46490.39,0.0,0.0,7968.35,7968.35,3004;3923,ACTIVE,C02-GSTINV-00284,match
06OPCGG7302M7ZI,COMAR GROUP,INV/2602/00045,2026-02-18,022026,98588.29,0.0,0.0,15129.73,15129.73,2106,ACTIVE,C02-GSTINV-00285,hsn_mismatch
07JCJFL3260N6ZB,DUBE GROUP,INV/2602/00046,2026-02-19,022026,70767.05,0.0,0.0,10398.93,10398.93,1701;8504;2106;8708,ACTIVE,C02-GSTINV-00286,match
09VNHBB0140V5ZM,"MANNE, UPADHYAY AND MAHAJAN",INV/2602/00047,2026-02-20,022026,1126.78,0.0,0.0,315.5,315.5,8708,ACTIVE,C02-GSTINV-00287,match
01CWHPL6629Z3ZD,SUBRAMANIAN-SODHI,INV/2602/00048,2026-02-21,022026,36390.34,0.0,0.0,6550.26,6550.26,9983,ACTIVE,C02-GSTINV-00288,match
01ADEMR8964T6ZP,SHAN PLC,INV/2602/00049,2026-02-22,022026,18633.69,0.0,0.0,1985.34,1985.34,1701;3004,ACTIVE,C02-GSTINV-00289,match
07QLQUE3440F3ZS,RAJAGOPAL AND SONS,INV/2602/00050,2026-02-23,022026,155494.78,0.0,0.0,11384.8,11384.8,1006;3004;7208;1701,ACTIVE,C02-GSTINV-00290,rate_mismatch
36OHMMP6684W1ZX,"TRIVEDI, DESHPANDE AND BOASE",INV/2602/00051,2026-02-24,022026,125219.76,0.0,0.0,22539.55,22539.55,9983;3923;8504;4819,INACTIVE,C02-GSTINV-00291,gstin_status_risk
32XIPVR1279V6ZU,SACHDEVA-OAK,INV/2602/00052,2026-02-25,022026,52856.69,0.0,0.0,3868.27,3868.27,9983;1701,ACTIVE,C02-GSTINV-00292,match
09GOZJG6185Z2ZL,"LOKE, AGATE AND MANDAL",INV/2602/00053,2026-02-26,022026,4359.52,0.0,0.0,784.72,784.72,9983,ACTIVE,C02-GSTINV-00293,match
07SSTMW1381G8ZQ,YOHANNAN-SULE,INV/2602/00055,2026-02-01,022026,25344.08,0.0,0.0,3041.29,3041.29,3004,ACTIVE,C02-GSTINV-00295,match
07CJTJR1742Z7ZQ,NATARAJAN-PUROHIT,INV/2602/00056,2026-02-02,032026,132930.4,0.0,0.0,14567.56,14567.56,8708;1006;1701,ACTIVE,C02-GSTINV-00296,period_mismatch
24BTRQX0676Q5ZQ,NAGY-GULATI,INV/2602/00057,2026-02-03,022026,88121.92,0.0,0.0,13399.05,13399.05,4819;3923;2106,ACTIVE,C02-GSTINV-00297,match
08XQQLI8678C1ZY,"KHARE, RAJAGOPAL AND KAUR",INV/2602/00058,2026-02-04,022026,108140.71,0.0,0.0,17001.53,17001.53,2106;3923;8708,ACTIVE,C02-GSTINV-00298,match
32GVHKN7825D1Z7,BASSI-NADKARNI,INV/2602/00059,2026-02-05,022026,89524.28,0.0,0.0,16114.37,16114.37,9983;4819,ACTIVE,C02-GSTINV-00299,match
33NPJHU7675H2ZK,"SOLANKI, RAJ AND RAJU",INV/2602/00060,2026-02-06,022026,14185.13,0.0,0.0,2553.32,2553.32,4819;7208,ACTIVE,C02-GSTINV-00300,match
08LJNPN3244O8ZQ,"DOSHI, TANDON AND BANSAL",INV/2602/00061,2026-02-07,022026,37628.85,0.0,0.0,6092.14,6092.14,2106;8504,ACTIVE,C02-GSTINV-00301,match
29DFMTY3964D6ZI,THAKKAR PLC,INV/2602/00062,2026-02-08,022026,83887.66,4528.61,4528.61,0.0,9057.22,1701;4819,ACTIVE,C02-GSTINV-00302,match
24BXXFV4138N8ZJ,CHAUDHRY-SARRAF,INV/2602/00063,2026-02-09,022026,143419.0,0.0,0.0,30477.93,30477.93,4819;9983;8708;8504,ACTIVE,C02-GSTINV-00303,match
19CQQKX3064I2ZA,VORA GROUP,INV/2602/00064,2026-02-10,022026,78662.12,0.0,0.0,14159.18,14159.18,9983,INACTIVE,C02-GSTINV-00304,gstin_status_risk
27CNIPM9310Q6ZO,"DUBEY, BORDE AND SINGH",INV/2602/00066,2026-02-12,022026,9159.87,0.0,0.0,457.99,457.99,1701,ACTIVE,C02-GSTINV-00306,match
33EPIAB3343M2Z3,NIGAM-RAO,INV/2602/00067,2026-02-13,022026,51433.09,0.0,0.0,10321.37,10321.37,9983;8708,ACTIVE,C02-GSTINV-00307,rate_mismatch
33GXGZR2573N8Z5,"BUCH, NARASIMHAN AND WALLA",INV/2602/00068,2026-02-14,022026,45566.45,0.0,0.0,5467.97,5467.97,3923,ACTIVE,C02-GSTINV-00308,hsn_mismatch
27BVYQQ1092I7ZM,NADIG-SURA,INV/2602/00069,2026-02-15,022026,74902.13,0.0,0.0,10282.12,10282.12,9983;2106,ACTIVE,C02-GSTINV-00309,match
09WFNUW9697I4ZK,"BANIK, BISWAS AND KEER",INV/2602/00070,2026-02-16,022026,109699.15,0.0,0.0,14807.11,14807.11,8504;2106,ACTIVE,C02-GSTINV-00310,match
27AAEOS4308U2ZY,"MANI, KARAN AND CHANA",INV/2602/00071,2026-02-17,022026,214951.91,0.0,0.0,22257.17,22257.17,1701;7208;2106,ACTIVE,C02-GSTINV-00311,match
09RSEVQ8299B5ZV,CHAUDHARI-CHAUDHRY,INV/2602/00072,2026-02-18,022026,46694.96,0.0,0.0,4197.6,4197.6,1006;7208,ACTIVE,C02-GSTINV-00312,match
29MOROR5010I4ZX,GANESAN-MISTRY,INV/2602/00073,2026-02-19,022026,26741.12,3469.7,3469.7,0.0,6939.4,3004;8708,ACTIVE,C02-GSTINV-00313,match
01WIVKD5450X4Z3,BATRA LLC,INV/2602/00074,2026-02-20,022026,89567.85,0.0,0.0,15678.76,15678.76,8708;7208;9983;3004,ACTIVE,C02-GSTINV-00314,match
32LCLDZ9386Z3Z3,SANKAR-DHINGRA,INV/2602/00076,2026-02-22,022026,39502.29,0.0,0.0,3065.06,3065.06,1006;7208,INACTIVE,C02-GSTINV-00316,gstin_status_risk
24WQIYU4311T2ZC,WALI GROUP,INV/2602/00077,2026-02-23,022026,84734.54,0.0,0.0,16906.14,16906.14,8708;8504,ACTIVE,C02-GSTINV-00317,match
33TIXUD3330S3Z3,"GOLE, GARDE AND GILL",INV/2602/00078,2026-02-24,022026,11064.51,0.0,0.0,1991.61,1991.61,7208,ACTIVE,C02-GSTINV-00318,match
08UIRSZ5359T5ZQ,RAJA PLC,INV/2602/00079,2026-02-25,022026,72946.4,0.0,0.0,3647.32,3647.32,1701;1006,ACTIVE,C02-GSTINV-00319,match
36FQGTY3721A6Z0,"KHOSLA, TANK AND DHAR",INV/2602/00080,2026-02-26,022026,25697.01,0.0,0.0,3402.81,3402.81,1006;3923;9983,ACTIVE,C02-GSTINV-00320,match
08EAVXA6371G5ZT,SHENOY LTD,INV/2602/00081,2026-02-27,022026,93972.92,0.0,0.0,24010.59,24010.59,4819;8708;1701,ACTIVE,C02-GSTINV-00321,match
08XTPWH1262E9ZV,SHARAF-KUMER,INV/2602/00082,2026-02-01,022026,58262.68,0.0,0.0,10487.29,10487.29,8504,ACTIVE,C02-GSTINV-00322,match
33TJNES5494S7Z2,"ANDRA, SHROFF AND MANI",INV/2602/00083,2026-02-02,022026,72082.35,0.0,0.0,10621.87,10621.87,3004;7208,ACTIVE,C02-GSTINV-00323,rate_mismatch
09ODCLJ5464O7ZQ,"DUGAR, BORAH AND SATHE",INV/2602/00084,2026-02-03,022026,121604.91,0.0,0.0,14755.32,14755.32,4819;2106;1701;3923,ACTIVE,C02-GSTINV-00324,match
08CBAFF3386I4Z8,MISTRY-SAMRA,INV/2602/00085,2026-02-04,022026,77030.87,0.0,0.0,12118.94,12118.94,1006;4819;9983,ACTIVE,C02-GSTINV-00325,match
24FLOJP1908L6ZE,RAJAGOPALAN GROUP,INV/2602/00087,2026-02-06,022026,116114.08,0.0,0.0,20354.92,20354.92,7208;4819;1006,ACTIVE,C02-GSTINV-00327,match
32OKJYB3439U5Z5,KHALSA GROUP,INV/2602/00088,2026-02-07,022026,1169.5,0.0,0.0,327.46,327.46,8708,ACTIVE,C02-GSTINV-00328,match
32MEBZH2600Q1ZA,"PARMER, MERCHANT AND MERCHANT",INV/2602/00089,2026-02-08,022026,134082.9,0.0,0.0,13675.87,13675.87,7208;2106;1701;3004,INACTIVE,C02-GSTINV-00329,gstin_status_risk
27EOIFS4294M4ZX,RANDHAWA LLC,INV/2602/00090,2026-02-09,022026,149099.65,0.0,0.0,23005.55,23005.55,8504,ACTIVE,C02-GSTINV-00330,hsn_mismatch
07XTLXE5392F5ZY,BAWA PLC,INV/2602/00091,2026-02-10,022026,29336.78,0.0,0.0,3520.41,3520.41,3004,ACTIVE,C02-GSTINV-00331,match
06ZBCTI4254C8ZO,"TANEJA, MANGAT AND KARPE",INV/2602/00092,2026-02-11,022026,87959.04,0.0,0.0,13405.48,13405.48,3004;3923;2106;8504,ACTIVE,C02-GSTINV-00332,match
27DVVEA1253C1ZH,"PANDEY, KANDA AND GUPTA",INV/2602/00093,2026-02-12,032026,364445.73,0.0,0.0,64692.07,64692.07,4819;1006;8504;8708,ACTIVE,C02-GSTINV-00333,period_mismatch
09LPBJF2910A1ZL,"KRISHNA, DEVAN AND CHATTERJEE",INV/2602/00094,2026-02-13,022026,46853.94,0.0,0.0,2342.7,2342.7,1701,ACTIVE,C02-GSTINV-00334,match
32FOYDF3143M4ZT,"BARAL, MORE AND SASTRY",INV/2602/00095,2026-02-14,022026,60981.77,0.0,0.0,10976.72,10976.72,3923,ACTIVE,C02-GSTINV-00335,match
06SUXOG0363Y3ZL,PATLA LTD,INV/2602/00096,2026-02-15,022026,110980.46,0.0,0.0,26739.62,26739.62,8504;9983;8708,ACTIVE,C02-GSTINV-00336,match
33SFWNE6049B3ZD,SAGAR-GILL,INV/2602/00098,2026-02-17,022026,49968.93,0.0,0.0,5996.27,5996.27,2106,ACTIVE,C02-GSTINV-00338,match
08LPHOZ2849L7ZO,DEO PLC,INV/2602/00099,2026-02-18,022026,72065.51,0.0,0.0,12971.78,12971.78,8504;7208,ACTIVE,C02-GSTINV-00339,match
29SGMLJ6014E4Z0,WALI-THAKER,INV/2602/00100,2026-02-19,022026,131757.8,9960.9,9960.9,0.0,19921.81,8504;7208,ACTIVE,C02-GSTINV-00340,rate_mismatch
06KBXKO1429X6ZW,GALA-KURIAN,INV/2602/00101,2026-02-20,022026,128104.86,0.0,0.0,22850.87,22850.87,4819;7208;3004,ACTIVE,C02-GSTINV-00341,match
07GPYVA7693S2ZX,MERCHANT-NIGAM,INV/2602/00102,2026-02-21,022026,216615.54,0.0,0.0,38000.08,38000.08,2106;3923;7208,INACTIVE,C02-GSTINV-00342,gstin_status_risk
19VGFTS0140Y7ZX,SIDHU INC,INV/2602/00103,2026-02-22,022026,32861.01,0.0,0.0,5014.74,5014.74,7208;2106;8504,ACTIVE,C02-GSTINV-00343,match
08EBETG9466U3Z5,KARA LTD,INV/2602/00104,2026-02-23,022026,4812.05,0.0,0.0,866.17,866.17,7208,ACTIVE,C02-GSTINV-00344,match
01RUBFU3592P8ZL,"RANGANATHAN, PAU AND CHANA",INV/2602/00105,2026-02-24,022026,117586.65,0.0,0.0,21165.6,21165.6,4819;9983,ACTIVE,C02-GSTINV-00345,match
07ADNYT2468Q7ZC,ATWAL-LALLA,INV/2602/00106,2026-02-25,022026,91036.49,0.0,0.0,7304.19,7304.19,1006;8504,ACTIVE,C02-GSTINV-00346,match
06JYYMR6136W3ZX,"DASGUPTA, SHA AND PILLAY",INV/2602/00107,2026-02-26,022026,56741.09,0.0,0.0,6808.94,6808.94,2106,ACTIVE,C02-GSTINV-00347,match
32BIXTS6794H4ZG,KAUR GROUP,INV/2602/00109,2026-02-01,022026,62723.5,0.0,0.0,6640.76,6640.76,1701;9983,ACTIVE,C02-GSTINV-00349,match
36ABNWZ3367Q4Z6,NARANG PLC,INV/2602/00110,2026-02-02,022026,23496.03,0.0,0.0,6578.89,6578.89,8708,ACTIVE,C02-GSTINV-00350,match
33LPDRU7539D5ZU,BHATNAGAR LTD,INV/2602/00111,2026-02-03,022026,38508.35,0.0,0.0,6931.51,6931.51,8504;7208,ACTIVE,C02-GSTINV-00351,match
36TYUWS2891A9ZP,MITTAL-REGE,INV/2602/00112,2026-02-04,022026,156267.2,0.0,0.0,23160.26,23160.26,3923,ACTIVE,C02-GSTINV-00352,hsn_mismatch
36HRPLM8281U1ZN,DEY INC,INV/2602/00113,2026-02-05,022026,56497.72,0.0,0.0,6779.73,6779.73,2106,ACTIVE,C02-GSTINV-00353,match
07YCZEB9659U7ZF,MODI GROUP,INV/2602/00114,2026-02-06,022026,29623.21,0.0,0.0,3554.78,3554.78,3004,INACTIVE,C02-GSTINV-00354,gstin_status_risk
32YQJRU6786I8ZN,CHATTERJEE AND SONS,INV/2602/00115,2026-02-07,022026,2419.1,0.0,0.0,120.96,120.96,1701,ACTIVE,C02-GSTINV-00355,match
33XFPZM6053U7ZJ,"DESHMUKH, RAMA AND SETTY",INV/2602/00116,2026-02-08,022026,13738.07,0.0,0.0,2513.14,2513.14,1701;8708,ACTIVE,C02-GSTINV-00356,rate_mismatch
01KVUNB8586Y4Z7,ZACHARIAH-SAINI,INV/2602/00117,2026-02-09,022026,37562.88,0.0,0.0,2000.68,2000.68,1006;4819,ACTIVE,C02-GSTINV-00357,match
36IXZPN6600E5ZD,REDDY-MAMMEN,INV/2602/00119,2026-02-11,022026,19041.16,0.0,0.0,3427.41,3427.41,9983,ACTIVE,C02-GSTINV-00359,match
24LYRYD2626U4ZN,PRABHAKAR AND SONS,INV/2602/00120,2026-02-12,022026,11528.59,0.0,0.0,2075.14,2075.14,7208,ACTIVE,C02-GSTINV-00360,match
08CDCOB6332Z4ZH,SAXENA-KEER,INV/2602/00121,2026-02-13,022026,13453.62,0.0,0.0,2421.65,2421.65,7208,ACTIVE,C02-GSTINV-00361,match
06ESHVM5785T2Z3,CHAUDHARY-PILLAI,INV/2602/00122,2026-02-14,022026,98739.32,0.0,0.0,22514.9,22514.9,7208;8708,ACTIVE,C02-GSTINV-00362,match
09BSZSG6719Z8ZW,"PARMER, BHAT AND RAO",INV/2602/00123,2026-02-15,022026,120703.49,0.0,0.0,17674.95,17674.95,7208;3004;1701,ACTIVE,C02-GSTINV-00363,match
06BGCOC2980N9Z8,GUPTA-DAS,INV/2602/00124,2026-02-16,022026,521054.51,0.0,0.0,102314.18,102314.18,8708;1006,ACTIVE,C02-GSTINV-00364,match
33YVWNP6968Q4ZB,CHAND-KALA,INV/2602/00125,2026-02-17,022026,115174.08,0.0,0.0,11569.82,11569.82,2106;1006,ACTIVE,C02-GSTINV-00365,match
29WWHMG0639U9Z2,"BAIL, BEDI AND NATH",INV/2602/00126,2026-02-18,022026,40512.42,2752.79,2752.79,0.0,5505.58,1006;8504;1701;2106,ACTIVE,C02-GSTINV-00366,match
07UGMJJ8529V8ZA,DASS PLC,INV/2602/00127,2026-02-19,022026,16962.36,0.0,0.0,1499.5,1499.5,7208;3004;1006,INACTIVE,C02-GSTINV-00367,gstin_status_risk
19XEFMR2457W3ZK,BISWAS PLC,INV/2602/00128,2026-02-20,022026,104268.63,0.0,0.0,28373.75,28373.75,8708;7208;1701;4819,ACTIVE,C02-GSTINV-00368,match
06SNEZP6210G3ZR,DIVAN-AGATE,INV/2602/00130,2026-02-22,032026,34238.22,0.0,0.0,8803.26,8803.26,1701;8708,ACTIVE,C02-GSTINV-00370,period_mismatch
06HHJKI0007G5ZU,DHILLON-DE,INV/2602/00131,2026-02-23,022026,6493.82,0.0,0.0,1168.89,1168.89,7208,ACTIVE,C02-GSTINV-00371,match
06CAOWI7375L4ZH,"KRISHNA, GHOSH AND CHOUDHARY",INV/2602/00132,2026-02-24,022026,42172.91,0.0,0.0,3861.94,3861.94,1701;9983;3004,ACTIVE,C02-GSTINV-00372,match
19HMTND1478Y9ZM,"BAL, DEEP AND AURORA",INV/2602/00133,2026-02-25,022026,137400.25,0.0,0.0,25909.62,25909.62,8504;7208;8708,ACTIVE,C02-GSTINV-00373,rate_mismatch
36ZHYBZ1845Q2ZA,KHANNA-NAIK,INV/2602/00134,2026-02-26,022026,81772.83,0.0,0.0,11541.36,11541.36,8708;3923;2106;1006,ACTIVE,C02-GSTINV-00374,match
36NHFSO1020E5Z8,GHOSH LLC,INV/2602/00135,2026-02-27,022026,18249.35,0.0,0.0,2189.93,2189.93,9983,ACTIVE,C02-GSTINV-00375,hsn_mismatch
19QZIYW2182B1ZM,DATE LTD,INV/2602/00136,2026-02-01,022026,142496.04,0.0,0.0,32200.44,32200.44,2106;8708;9983,ACTIVE,C02-GSTINV-00376,match
24YGQPF4326Y7Z9,VORA-COMAR,INV/2602/00137,2026-02-02,022026,16952.0,0.0,0.0,3051.35,3051.35,7208;8504,ACTIVE,C02-GSTINV-00377,match
07QAEEK6002U7Z6,"BHATT, SONI AND SEN",INV/2602/00138,2026-02-03,022026,11178.6,0.0,0.0,701.81,701.81,1006;7208,ACTIVE,C02-GSTINV-00378,match
33YDUGY5707R6Z5,VARGHESE-CHOPRA,INV/2602/00139,2026-02-04,022026,87195.68,0.0,0.0,14856.79,14856.79,8504;2106,ACTIVE,C02-GSTINV-00379,match
07LIELX6628I8ZN,"BASSI, VERMA AND MITRA",INV/2602/00141,2026-02-06,022026,19358.79,0.0,0.0,967.94,967.94,1006,ACTIVE,C02-GSTINV-00381,match
06PYHCZ1334W7ZL,BALASUBRAMANIAN-BHAT,INV/2602/00142,2026-02-07,022026,74374.05,0.0,0.0,17375.57,17375.57,7208;8708,ACTIVE,C02-GSTINV-00382,match
08KPKPS7720A6ZZ,RATTI-SANDHU,INV/2602/00143,2026-02-08,022026,16730.53,0.0,0.0,1924.81,1924.81,1701;4819,ACTIVE,C02-GSTINV-00383,match
29ZXGVB1973A7ZN,"CHOKSHI, SWAMINATHAN AND SAWHNEY",INV/2602/00144,2026-02-09,022026,8236.97,741.33,741.33,0.0,1482.66,9983,ACTIVE,C02-GSTINV-00384,match
07AJCCO8117X9ZJ,BUCH LLC,INV/2602/00145,2026-02-10,022026,74308.57,0.0,0.0,11391.37,11391.37,4819;1006;2106,ACTIVE,C02-GSTINV-00385,match
27OVXNS4195E4ZP,"DIVAN, BHATTI AND DATE",INV/2602/00146,2026-02-11,022026,11828.61,0.0,0.0,1419.43,1419.43,3004,ACTIVE,C02-GSTINV-00386,match
29PCSMQ4303N4ZH,NAIR-RAJ,INV/2602/00147,2026-02-12,022026,29813.55,745.34,745.34,0.0,1490.68,1701,ACTIVE,C02-GSTINV-00387,match
09EFYGC5094B6Z5,"WALI, MENON AND SETTY",INV/2602/00148,2026-02-13,022026,40861.71,0.0,0.0,7355.11,7355.11,4819,ACTIVE,C02-GSTINV-00388,match
08IKJDR3855Y3Z1,"SANI, CHAUDHARY AND CONTRACTOR",INV/2602/00149,2026-02-14,022026,128669.43,0.0,0.0,15734.47,15734.47,8504;1006;1701,ACTIVE,C02-GSTINV-00389,rate_mismatch
06MLEHB5307O5ZU,SACHDEV LLC,INV/2602/00151,2026-02-16,022026,55827.97,0.0,0.0,9090.25,9090.25,2106;8504;3923;9983,ACTIVE,C02-GSTINV-00391,match
32YJRNG8666X4ZZ,RASTOGI-SAGAR,INV/2602/00152,2026-02-17,022026,70881.59,0.0,0.0,10519.58,10519.58,1701;9983,INACTIVE,C02-GSTINV-00392,gstin_status_risk
27RJMNV1119M7ZC,"CHANDRAN, MUNSHI AND SANE",INV/2602/00153,2026-02-18,022026,38704.34,0.0,0.0,4595.34,4595.34,1701;9983;8504,ACTIVE,C02-GSTINV-00393,match
07YDFOZ7087P4Z3,KUMER-PRASAD,INV/2602/00154,2026-02-19,022026,12010.49,0.0,0.0,2161.88,2161.88,7208,ACTIVE,C02-GSTINV-00394,match
